time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2087.747796,0.0814190768,0.1174361685,0.1196230281,0.1995994304
2087.835452,0.0812234690,0.1170799520,0.1192620886,0.1989671819
2087.923107,0.0810288147,0.1167253294,0.1189025807,0.1983377577
2088.010763,0.0808350980,0.1163722904,0.1185444921,0.1977111456
2088.098419,0.0806423030,0.1160208248,0.1181878107,0.1970873337
2088.186074,0.0804504139,0.1156709226,0.1178325246,0.1964663098
2088.273730,0.0802594152,0.1153225738,0.1174786221,0.1958480619
2088.361385,0.0800692914,0.1149757684,0.1171260917,0.1952325780
2088.449041,0.0798800272,0.1146304965,0.1167749222,0.1946198462
2088.536696,0.0796916074,0.1142867485,0.1164251024,0.1940098546
2088.624352,0.0795040170,0.1139445146,0.1160766215,0.1934025914
2088.712007,0.0793172412,0.1136037852,0.1157294685,0.1927980446
2088.799663,0.0791312652,0.1132645508,0.1153836331,0.1921962026
2088.887319,0.0789460743,0.1129268018,0.1150391048,0.1915970535
2088.974974,0.0787616543,0.1125905289,0.1146958735,0.1910005857
2089.062630,0.0785779907,0.1122557229,0.1143539290,0.1904067875
2089.150285,0.0783950695,0.1119223743,0.1140132616,0.1898156473
2089.237941,0.0782128767,0.1115904741,0.1136738616,0.1892271534
2089.325596,0.0780313985,0.1112600131,0.1133357194,0.1886412942
2089.413252,0.0778506211,0.1109309823,0.1129988258,0.1880580584
2089.500908,0.0776705312,0.1106033728,0.1126631715,0.1874774342
2089.588563,0.0774911153,0.1102771755,0.1123287476,0.1868994104
2089.676219,0.0773123602,0.1099523818,0.1119955451,0.1863239754
2089.763874,0.0771342530,0.1096289828,0.1116635554,0.1857511179
2089.851530,0.0769567807,0.1093069698,0.1113327699,0.1851808349
2089.939185,0.0767799308,0.1089863342,0.1110031802,0.1846131795
2090.026841,0.0766036905,0.1086670674,0.1106747782,0.1840480668
2090.114497,0.0764280477,0.1083491610,0.1103475556,0.1834854857
2090.202152,0.0762529900,0.1080326064,0.1100215046,0.1829254249
2090.289808,0.0760785054,0.1077173954,0.1096966174,0.1823678732
2090.377463,0.0759045822,0.1074035196,0.1093728863,0.1818128195
2090.465119,0.0757312085,0.1070909709,0.1090503037,0.1812602526
2090.552774,0.0755583729,0.1067797409,0.1087288623,0.1807101615
2090.640430,0.0753860641,0.1064698216,0.1084085549,0.1801625351
2090.728085,0.0752142708,0.1061612051,0.1080893743,0.1796173624
2090.815741,0.0750429821,0.1058538832,0.1077713136,0.1790746324
2090.903397,0.0748721872,0.1055478480,0.1074543658,0.1785343342
2090.991052,0.0747018754,0.1052430918,0.1071385243,0.1779964567
2091.078708,0.0745320363,0.1049396067,0.1068237825,0.1774609893
2091.166363,0.0743626595,0.1046373849,0.1065101338,0.1769279209
2091.254019,0.0741937351,0.1043364189,0.1061975720,0.1763972407
2091.341674,0.0740252530,0.1040367010,0.1058860907,0.1758689380
2091.429330,0.0738572036,0.1037382237,0.1055756839,0.1753430020
2091.516986,0.0736895772,0.1034409795,0.1052663455,0.1748194219
2091.604641,0.0735223645,0.1031449609,0.1049580696,0.1742981871
2091.692297,0.0733555564,0.1028501607,0.1046508504,0.1737792868
2091.779952,0.0731891437,0.1025565715,0.1043446823,0.1732627104
2091.867608,0.0730231177,0.1022641861,0.1040395596,0.1727484474
2091.955263,0.0728574697,0.1019729974,0.1037354770,0.1722364871
2092.042919,0.0726921914,0.1016829981,0.1034324289,0.1717268189
2092.130575,0.0725272743,0.1013941814,0.1031304102,0.1712194324
2092.218230,0.0723627104,0.1011065402,0.1028294156,0.1707143171
2092.305886,0.0721984919,0.1008200675,0.1025294401,0.1702114625
2092.393541,0.0720346110,0.1005347566,0.1022304787,0.1697108581
2092.481197,0.0718710602,0.1002506006,0.1019325265,0.1692124935
2092.568852,0.0717078321,0.0999675927,0.1016355787,0.1687163585
2092.656508,0.0715449197,0.0996857264,0.1013396306,0.1682224426
2092.744164,0.0713823158,0.0994049951,0.1010446775,0.1677307355
2092.831819,0.0712200138,0.0991253920,0.1007507148,0.1672412820
2092.919475,0.0710580070,0.0988469109,0.1004577383,0.1667540309
2093.007130,0.0708962891,0.0985695451,0.1001657433,0.1662689573
2093.094786,0.0707348538,0.0982932885,0.0998747257,0.1657860508
2093.182441,0.0705736950,0.0980181346,0.0995846813,0.1653053013
2093.270097,0.0704128070,0.0977440773,0.0992956058,0.1648266987
2093.357752,0.0702521840,0.0974711173,0.0990074952,0.1643502329
2093.445408,0.0700918205,0.0971992489,0.0987203455,0.1638758937
2093.533064,0.0699317112,0.0969284585,0.0984341528,0.1634036712
2093.620719,0.0697718511,0.0966587402,0.0981489132,0.1629335552
2093.708375,0.0696122351,0.0963900879,0.0978646229,0.1624655359
2093.796030,0.0694528585,0.0961224959,0.0975812782,0.1619996032
2093.883686,0.0692937168,0.0958559584,0.0972988754,0.1615357472
2093.971341,0.0691348054,0.0955904695,0.0970174110,0.1610739580
2094.058997,0.0689761202,0.0953260237,0.0967368813,0.1606142257
2094.146653,0.0688176572,0.0950626152,0.0964572830,0.1601565404
2094.234308,0.0686594124,0.0948002386,0.0961786125,0.1597008924
2094.321964,0.0685013821,0.0945388884,0.0959008666,0.1592472718
2094.409619,0.0683435629,0.0942785591,0.0956240419,0.1587956689
2094.497275,0.0681859513,0.0940192453,0.0953481351,0.1583460738
2094.584930,0.0680285442,0.0937609417,0.0950731479,0.1578984770
2094.672586,0.0678713386,0.0935036431,0.0947990782,0.1574528687
2094.760242,0.0677143316,0.0932473443,0.0945259169,0.1570092393
